,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
``,-0.36117038,1.5167412,1.0289394,-1.3770995,0.1332038,0.5225273,-0.41809422,-2.46211,-1.8925421,0.15055855,0.46194136,-1.8227524,-0.2107342,0.098409116,-1.4859674,0.8505326,1.0455917,0.14781314,-0.080263905,-0.67478156,-0.59266573,1.1567361,-0.24363694,-0.4337653,0.7732064,-0.45534056,0.023036072,-0.43416426,2.4558403,-2.2207892,-1.3989372,1.0994457,0.19001938,0.912096,-0.02845859,-0.859975,-1.5197107,-0.5754533,1.638875,-0.39184883,0.24603544,0.060232777,-0.18664496,-1.0904207,-0.6424783,1.0526954,0.43809095,0.8423911,-1.5379405,0.10811874,-1.3730997,-0.8816846,0.16731128,1.2524256,0.9467072,-0.88011575,-0.19950573,0.35611564,2.725717,1.3362185,-0.75671154,-0.1264529,0.4165919,-0.93737227,-2.1034443,0.16290903,-0.9597989,-0.376899,1.9791651,-1.3722739,1.0748831,-0.15096171,-0.13417497,1.0902555,-0.6959975,0.10127877,-1.7342871,1.5963334,1.781936,1.166859,0.15744506,0.93449235,1.8484882,-0.6833931,-0.05832644,0.011518442,-1.6609696,-0.04664788,0.34915948,-0.77677464,-1.1311804,-2.8016877,-0.59115744,0.17885889,1.7183931,0.41469005,-0.76374155,-0.12346024,-0.3041016,-1.8335088,0.3096487,-2.5427072,-2.3243852,1.1448503,1.20321,0.1263183,-3.4257977,0.9096306,-0.96403676,0.4152282,-0.5319705,0.07465449,-0.792881,-0.65674555,0.47408295,0.024309767,0.57092327,0.4859141,2.2147055,1.1517814,0.9372096,-0.6739855,0.79478604,0.98321074,1.2243129,-0.2891462,-0.19638105,1.4156791,-0.72091746,-0.60658616,2.2012277,-0.52165294,0.7943667,-1.3802516,0.059720594,1.2688354,-1.0998893,0.7910684,-0.015782835,1.1644597,-0.032456946,0.8144115,-1.7554302,-0.3195399,1.1495683,2.7111003,-0.2018427,1.8536265,1.5484556,-0.7754832,-0.036954384,2.0980232,1.0160936,-0.19116887,0.13500857,-0.01609639,-0.86013687,-0.008264114,1.8724464,0.21255136,0.38391384,0.14365251,-0.8723244,1.7913482,0.24055865,0.50114846,-0.07418365,-0.78443176,2.2667508,0.39441195,-0.48261708,0.5014162,-0.6677249,1.5833884,-0.8755541,-1.2608186,-1.5613,1.1398559,1.2363597,1.5465398,1.1541182,-1.6230524,0.5965351,0.057955265,0.20464249,-0.9411032,0.7658654,0.5436223,0.3535905,0.082185425,-0.8881053,0.07093224,1.5607706,0.7059375,1.5792572,-2.039714,-0.62712526,0.82907605,-0.7170644,-0.55713123
'',-0.2552998,1.6813244,0.6628739,-1.4201884,0.2122642,0.052462652,0.25453356,-2.1083317,-1.1712059,0.9431935,0.6041285,-1.5885772,0.03164304,0.15411007,-1.3849955,1.0580137,0.27373782,-0.08147763,0.5873842,-0.07500393,-0.7579827,1.0098468,-0.11719197,0.37602493,1.0469381,-0.16207667,0.33103225,-0.040367298,2.7748723,-1.6866367,-1.0648217,0.5174278,-0.36541858,1.5437127,-0.38837996,-0.7952798,-1.6436404,-0.9409264,0.8419856,0.751824,-0.08306312,-0.55815685,-0.31305137,-0.14084446,-0.004114343,0.96544975,0.9765369,-0.14279057,-1.0874366,0.22341461,-1.2088351,-0.57495236,-0.08953367,0.96429116,1.4063898,0.058155693,-0.44503793,0.7205633,2.232637,1.7681315,-0.18878125,0.48770258,0.4694431,-1.7334332,-1.7608252,0.2630438,-0.48187125,-0.009696813,0.72545195,-0.83321923,0.34181005,-0.3147873,0.26345855,1.7513338,-1.1902369,-0.51697576,-0.6461239,2.2031093,1.0946847,-0.43452135,-0.012516065,0.18686032,1.2749376,-0.42160326,0.24075493,0.40211865,-0.864803,-0.2334568,0.24270193,-0.74118674,-1.2519598,-1.9312948,-0.14691886,-1.0428932,0.8033169,0.6583351,0.09842578,-0.01448973,0.23352629,-1.363618,-0.38935682,-2.4933276,-2.6038516,1.5767707,2.481704,0.056608222,-2.488864,0.23018427,-0.64955145,0.8192579,-0.77201456,1.5596906,-0.5118804,-1.0005592,0.8956684,0.27424628,0.775324,0.3233155,3.092635,0.4012536,0.23029391,-0.540887,1.2022789,1.0510293,0.1216448,-0.6642134,0.06916732,1.7825983,-0.16953693,-1.0650965,1.8636504,-0.4431972,1.1095933,-1.3211074,-0.13919179,1.683334,-0.87070453,0.95313454,-0.6670025,1.1628454,-0.10365786,0.44492337,-0.65418506,0.006439515,1.2909484,2.545004,0.39997795,1.5602317,2.0993583,-0.80155736,-0.49135968,1.8820016,1.3020705,-1.0394047,-0.13290477,-0.2955761,-0.6950082,0.038241588,2.2297945,-0.075537615,-0.2722965,-0.56479675,0.31335476,1.331071,-0.27682078,0.52992916,1.1134014,-1.1669544,2.0715232,-0.1178131,0.10772753,0.19486271,-0.49154457,0.75312465,-0.9388946,-0.79405046,-0.4258704,1.1044286,1.7641948,1.0982711,2.104751,-1.5348485,-0.02515311,0.8293061,-0.40808153,-0.91452706,0.65160084,0.1946349,1.309458,-0.8299752,-1.3633512,0.49612066,0.13619778,0.82142913,2.130521,-2.0588028,-1.2647673,1.7417991,-1.209875,-0.07762402
say,0.14153776,0.8358033,0.23755786,0.39078397,-0.33154386,1.2141966,1.7921191,-2.5674973,-0.90162694,0.175093,0.26460293,-0.56784755,0.61526734,-0.3982968,-1.0317461,-0.8330966,-0.4840014,-0.17394347,1.5575477,-0.4309905,0.40882975,0.27761656,-0.063026436,0.19136278,-0.6315496,-1.6295288,1.6819944,0.07609266,1.4907372,-0.5544022,-0.23165666,0.9358472,0.6154361,-0.159854,0.9120175,-2.42643,-2.067946,-1.8367968,-0.46432957,-0.8665692,-0.66088843,-0.9226624,-0.3343532,-0.9130151,-1.7190821,-0.2823573,0.55317634,1.6057396,-1.1395305,-0.69758093,-0.9945377,-0.753106,0.042901427,0.6811914,0.6021073,0.6367033,-0.5671654,0.09602162,2.776594,2.1187932,0.93718666,-0.8567486,-0.15486069,0.15474506,-1.7921275,-0.2480058,-0.7541083,0.8234578,2.0362594,-0.5704627,0.6008779,1.0466266,-2.2373555,2.243981,-0.8456576,-0.17785868,-1.2480314,2.1621597,1.0252925,-1.0914134,-0.6369101,-0.09603348,0.52153784,-0.8311499,-0.6195685,-0.21684279,0.82202363,-0.3174836,-0.0603191,-1.7082738,-2.7528794,-2.4021347,-1.1985842,-0.18500972,0.023823567,-0.5270435,0.09950986,1.5370015,-1.8180789,-1.8074456,1.5194063,-2.0577736,-2.3029726,-0.51228285,2.0085094,-0.21059583,-2.8307447,0.96069884,0.8291794,0.42273337,-0.49670115,-0.17274693,0.19168137,-0.0810157,-1.3271329,0.2460551,0.2380175,0.70625186,2.3579495,2.293992,0.32859397,-0.71026033,0.29246017,1.4649948,-0.13210267,-0.5242247,-0.04768219,0.9042168,-0.4074459,1.1476026,1.4534421,-0.69611317,1.546681,-2.5046442,-1.2282126,1.4542694,0.733242,1.8925534,0.6005496,1.2700243,-0.25819167,0.74806607,0.6260431,0.6407164,0.8233985,-0.017575346,-1.5035607,2.8579042,0.7591911,1.0284227,1.0145723,2.603021,0.81544775,-1.2595439,0.35055503,0.9186955,-0.14701225,-0.3946484,0.929868,0.22538863,1.1127499,0.34781396,-1.3436046,1.6553426,-0.9372569,0.9028753,0.9722153,-1.7079076,0.6391819,-1.5318455,0.026485408,1.297053,-0.5140205,2.8816879,-2.5219095,0.06610442,-2.2227943,-0.2091026,1.3563837,0.7222042,0.90144867,0.03335293,-1.0854264,-0.34044692,-0.6160548,-0.2311337,0.8811048,0.28127554,1.3035377,-0.7724327,-0.2397093,0.7617951,0.3172633,0.5952679,1.3131672,-2.0142672,-1.1552758,2.1936915,-0.7064056,-1.3795216
's,0.58527523,0.8498895,1.037752,-0.07872008,0.09795851,-0.1962848,0.8388045,-0.35462132,-0.63609254,-0.89543915,1.6382859,-0.039385173,-0.56175995,0.12672935,-1.039667,0.30553582,0.8765521,0.34631115,1.8462867,-0.9737381,-0.63544637,1.3905628,-0.7499363,-0.9701381,0.5116842,-1.2170483,-0.5386032,-0.041127596,1.6647367,-1.6180122,-1.4214773,0.6623835,0.10364733,0.8639492,0.06080812,-0.9651231,-2.857383,-0.6447575,-0.18169656,0.34010506,0.06614102,-0.50247127,0.28591317,-0.94272226,-0.27556378,2.1638746,0.51823854,0.17830968,-1.6642613,-1.2324457,-0.7848005,-1.8498878,0.019382706,0.14207406,0.01900301,0.18338324,0.13207458,-0.52694976,2.5537753,0.801195,-0.29030433,0.050284896,0.7035672,-0.8934363,-1.256755,0.67581016,-1.1915021,-0.9771172,1.6705306,-0.72482604,-0.43343708,-0.43708518,-0.47939363,1.4932503,-0.99663454,-0.29228306,-0.97348976,1.3395506,1.667207,-0.721348,0.37607926,-0.17272103,1.1260071,-1.3065525,-0.5745391,0.47221974,-0.23748645,-0.938083,-1.4310589,-0.51959044,-0.811744,-2.2001193,-0.16307646,-0.72172433,0.7513928,0.31880835,0.54809475,0.35798487,0.45097914,-0.993764,0.40264842,-2.443883,-1.0275052,0.7395658,2.3897443,0.7977664,-2.1322541,1.205449,-0.62284935,0.18786862,-1.2767699,1.4701355,0.44301784,-0.40179387,0.7715062,1.2199346,0.421402,1.0773015,1.8452768,0.9206074,0.67830056,0.140262,0.22545905,1.2248259,0.14697401,0.36156675,1.0365357,1.189095,-0.15826753,-0.03020769,0.12414941,0.34106824,0.75006634,-1.2739261,-1.2580298,0.87458885,-0.054162,0.8034301,0.29899082,1.2837824,0.36842176,0.79846746,0.18076995,0.96584535,1.4408205,1.0075688,0.11395343,1.2508782,1.2063527,-0.012630662,-0.05162788,1.6528163,1.4154791,-1.1293292,1.1828556,0.049670313,-1.3091079,0.4855881,1.9494538,-0.8128155,-0.025222145,0.082556106,-0.24595138,0.92594224,1.9211812,0.6195315,0.058349185,-1.3376538,0.7434668,-0.39556408,-0.7415915,0.42348552,-0.99424803,0.67261434,-0.41037783,-1.3678911,-0.36791852,0.5599948,2.6153307,0.7106543,0.7865986,-0.8624435,-0.9010698,0.68971264,0.3801667,-0.1394058,1.3973026,0.24309649,0.10972107,0.11196962,-1.3692372,-0.32557768,-0.52911735,0.27397868,-0.18779892,-1.7882047,-0.8700125,1.917431,0.3195087,-2.4059393
cnn,0.81265795,0.41864964,1.8808881,2.9322755,0.5062338,-0.704398,0.09016831,0.15296309,-1.7063154,-0.4132972,0.5327498,-1.8236028,1.1275606,0.29293805,0.3535963,0.17805733,-1.7214439,-1.24667,0.5246048,0.32420042,-0.59282476,1.7451797,-0.11061254,-0.2345874,-0.41951972,0.41024923,-0.9215072,1.0707082,1.6733125,-1.5926441,0.09798865,0.4729876,2.4070122,1.2817588,-0.2882223,0.40894854,-3.056285,-1.3275563,-0.16229327,-0.68770385,-1.2291436,0.29533127,-2.5595398,-0.3104464,-1.9908067,1.5768836,-2.635022,1.1745743,-1.5933287,0.09053575,0.83760715,1.6043556,0.9130971,0.45548296,2.771833,0.20072947,-0.22899276,0.6559755,2.2337296,0.12971543,0.3196727,0.2261737,-0.24498254,0.97101074,-1.632573,1.0259837,2.1183996,-0.014066572,-0.19667558,0.7216981,0.75087833,-0.6138228,0.75506026,2.5697703,-0.5128701,1.7140785,0.1787539,-0.24218419,-1.1609287,-0.093856,-3.6101332,-0.5536896,3.0416033,-1.2193245,1.7240989,-0.72568685,-0.66545904,-1.259659,0.742071,0.9729268,-2.4921203,-2.2390826,-0.80832815,0.24883842,1.514437,1.80394,-1.8346573,0.060325164,-0.084848955,-1.6106281,0.40856048,-2.4428198,-1.7614045,2.6969666,1.0265219,0.28582773,-3.6578655,1.1713654,-0.87153465,0.5210575,2.5141675,0.2715166,0.5842719,0.035383843,-0.1748509,1.5954036,0.34899962,-1.2099257,2.6814332,0.05578509,0.7479571,-0.6989599,-0.66049623,-0.12128513,-1.1118698,-0.8017851,-0.6384597,3.6175034,-0.91089034,-0.5732408,0.8661452,0.82171965,0.72315204,-1.0198202,-0.28018978,1.3268474,-0.05605769,1.8407394,0.93890756,-0.053222224,-0.05738489,-0.46030882,1.5100232,-1.4784149,0.37311757,-2.9024482,-1.6278232,1.7464514,1.9488132,1.4479892,0.17971483,1.2053714,-0.70700854,0.6505894,-1.5305035,0.79861546,0.4054057,-1.1735799,-0.32539397,0.83987236,-0.4243362,0.8086993,0.059965137,0.8784257,0.8571191,0.16056632,0.82675767,1.6096166,0.38032192,-1.54428,-2.5579386,-0.30588463,-1.5913204,1.8213395,0.2301582,0.33455604,0.44877815,0.6631105,0.44528815,0.49324146,0.06427101,-0.0045401305,-2.6706011,-0.54180866,-0.15664199,-2.971768,1.358772,0.74595654,0.62954885,2.2396755,-0.07002478,1.8033729,-0.53250283,-1.6677731,2.0334466,-0.5760309,-1.5541685,1.9515172,-0.09591535,-3.2009008
people,-0.2114614,2.0867114,-0.21152483,-4.16775,0.79640913,1.430381,-2.7101178,-5.3424006,-0.7460951,-2.3997512,-0.7978736,-0.7691481,1.1059834,0.21591054,-3.0245104,1.4935197,-2.8116229,-1.3710623,2.3564963,-0.032118782,-0.72819126,1.0334772,0.1591128,-0.021486653,1.8743807,1.3200675,2.866249,-0.7526671,2.3589356,-1.2972983,-0.5069104,0.53303397,2.2094114,0.736708,0.4465615,-1.262938,1.1031697,-0.56411785,0.13828978,0.3810949,-0.05948707,-0.004708361,-0.5588296,1.6506273,-2.558634,-0.83794993,1.2160636,1.0455645,-2.4376626,1.007585,-1.8955445,-3.0677857,-1.3805078,2.7344809,1.4972773,-0.7303906,-1.9013213,1.2380848,3.9401538,0.5938343,-2.2285054,-2.718815,0.121588305,1.1898971,-2.882233,-0.92063785,1.7947571,-0.016812392,-0.9859952,-1.6126653,3.336902,1.0677041,-1.2028744,2.521294,-0.9811484,0.2564818,0.92930704,-0.7465112,0.8980162,3.972922,0.5009622,0.32874867,3.1968756,1.7883246,-0.0030189913,-0.06717654,0.025690474,-0.016606644,2.7644699,0.8342459,0.9194432,-3.8600883,-0.6968399,2.9897866,0.17141426,-2.0014157,0.9697794,0.75218546,-0.34151712,-4.5402837,2.3038616,0.564003,-3.3304615,4.536155,1.3799032,0.8035866,-0.63342327,-0.6925066,0.5062859,1.4854004,1.1656439,-0.49740076,0.119510606,1.24822,0.10854291,-1.1878258,-0.5788881,0.22684191,2.3879054,0.004757111,1.0536761,-1.521738,1.1690239,0.60322404,-1.5924764,-1.1697977,-0.70470357,0.48138213,-1.2110965,-2.7842088,1.0442145,-0.03340024,-2.4867413,2.350173,0.0991402,0.21194297,0.11915777,2.2815862,-2.2207215,1.4366944,-1.7057196,2.1578155,0.58596843,0.1956724,-0.25516543,5.2927737,0.7667541,2.4851558,0.5862501,1.654018,-0.77091825,2.5128493,-0.40184444,1.6495275,1.0321052,-2.7094069,-0.9432623,1.8502117,-0.21000414,-1.7152408,0.059459113,-1.7539032,-0.8366469,-0.95030445,-0.99950904,-0.20821989,1.9821811,-0.2936615,1.1049527,-0.68532234,0.30996835,0.98979336,-1.9012545,1.5393276,-1.2027639,0.80115974,-1.3138776,2.938851,0.773681,0.8126143,-1.4058126,0.103617914,-2.0917487,-0.39080352,2.5765264,0.43516514,-1.3454365,-0.86956656,0.56033635,-0.39287052,0.43400538,-0.14826547,0.57754713,1.3041224,0.33066535,0.6831915,-1.4467995,-0.11655067,-0.08930945,1.4648455
year,-2.659751,2.238245,0.0892439,0.55930156,0.76095444,1.2494978,-0.79495305,-1.5813262,3.0691195,-1.5565841,-0.66194093,-2.8514745,-1.2388079,-2.582462,2.488152,-2.2697463,0.1891957,0.52624565,3.3004034,6.765222,-3.8617606,1.1208712,-2.771026,0.07609906,-2.6725135,3.0849445,-0.2989856,2.3771996,3.8244603,0.6245309,-1.6593556,1.816303,1.74403,0.5028376,0.17455378,-1.7586629,-1.1992182,-1.1033658,1.6017358,0.69572186,-0.8020858,0.100011915,-0.6333638,1.8223739,-3.131939,-0.7668675,1.1016306,0.16023952,-0.9210223,2.8575044,0.108054854,-2.0766253,-3.2329464,3.0200818,2.181586,0.2596348,0.89563066,0.9686706,2.9098117,1.1694946,-5.068825,-3.0062346,-0.37278295,3.2381744,-0.52739316,-1.1881603,2.7770896,-2.7106254,-0.31249115,-0.41799828,5.4169273,1.967104,1.3989058,0.38271838,3.4590557,-1.7342496,-3.13866,-0.64486945,-0.48960054,1.5711647,0.41647142,0.8809054,5.722852,0.6565039,0.67960936,0.05006219,0.13605435,-0.019657448,-1.3639146,5.107714,0.46633214,-1.7418532,1.0399431,-0.6897789,-0.8578478,-1.227829,0.77889097,3.9414053,-0.43328422,-0.77155364,-1.1493889,-1.8054581,-2.070942,2.5066352,-0.68506676,0.78957003,-0.94983906,-2.0339448,1.6026883,-0.6732842,-0.39511636,4.390405,-0.6359429,1.2121617,-1.7173138,0.3958037,0.70839226,-0.1765254,2.0932982,-0.88922787,2.8654308,-0.37706983,2.4656549,1.393512,0.85843205,5.362669,-1.7065737,-2.169673,0.914918,-0.11146542,0.8095595,0.73479795,-1.2045405,2.5476868,0.5600721,-2.5869744,-2.7074413,0.59825367,0.9307224,-0.28482828,-4.092025,-1.1930017,1.9000677,2.2974765,1.602651,0.6567363,-0.27391967,2.2516615,1.1306688,-2.7349129,-2.1306427,0.23659895,0.51201874,-1.019016,3.582223,-3.0918279,0.7582607,2.2211456,-1.6028503,-6.2594748,1.3385748,-1.1787843,0.081678726,2.4493995,0.26935998,1.8832083,0.29312184,2.2243643,-1.7170999,-1.8782773,-0.24640599,1.3704891,-2.525446,0.70939744,0.89080316,-0.74683654,-0.3435806,0.76005405,1.346676,-1.7604765,0.15640181,-2.538854,1.6198003,1.994503,-0.4488131,-0.5079138,-0.860224,-1.8021762,0.73873293,-4.254133,-0.3330623,0.7133337,2.6202264,0.045591064,-2.9630861,0.47232088,3.3414128,3.4199483,-0.29897508,3.581706
one,-0.37722358,3.0273023,1.7175232,-0.6539727,-0.20878492,-1.1541785,-0.9979502,-1.9923741,-1.1989418,-0.85864,0.5960953,-1.6706114,0.32474193,-2.5788007,-0.33471683,0.86312675,-0.5055367,-0.0016957347,0.9221447,1.2515632,1.2160069,1.0127894,-0.9558426,0.32452127,0.73098385,2.662319,-0.98476225,0.47335494,3.4779127,-3.1449492,-1.0246774,2.0338118,1.4314485,-1.485378,0.2576373,0.11119762,-0.6236785,-0.6669375,-0.6972118,0.69253427,0.45340723,-0.9011854,-0.8193726,1.1506134,0.09057445,1.1475039,0.06822293,-0.4701299,-1.7753582,0.44434893,-2.7661455,-0.41392764,-0.1146525,-0.34307376,1.2936528,-7.6618526e-05,-0.05421036,1.5351144,2.878228,0.43181792,-0.62801975,-0.35100773,-0.69746655,0.2980569,-1.2350515,0.32464185,-0.51838166,0.7758327,1.4767959,-2.3177528,0.94946337,0.15368441,0.66858184,1.3179622,-1.0513738,-0.016563995,-1.3751204,0.9016313,2.3046353,0.30532333,-3.1192124,-0.2538321,2.547494,-2.1829197,-0.380708,0.48470265,-1.1059633,0.15551837,-0.493887,-1.2030483,-0.62136525,-2.4283884,0.11662633,0.9748888,1.7277936,-0.5345052,1.9007144,0.07265371,-2.1402357,-0.22283259,1.3629187,-1.1728511,-1.4267963,0.6959189,2.219028,1.7103744,-2.4270399,1.0431978,-0.79578084,1.1597277,0.86477524,0.6306243,0.9579705,-0.41508278,-0.043935448,0.5709947,0.7548748,0.8683064,2.8740377,1.2650906,0.62480444,-0.152648,-1.3662136,1.0993577,0.16378455,1.2996691,2.2046578,1.8434701,-0.8439352,-1.9447027,-0.5939889,-0.26452273,-0.28994587,-0.071811974,-0.37075314,2.6696386,-0.19866453,0.38135216,1.3351357,2.1580992,-0.24654958,1.4353285,-0.1911269,0.87672913,1.2601483,2.7308934,-0.3058028,1.5518806,2.0333998,-1.4673656,-0.35351518,0.90901756,-0.86872107,0.36404967,0.4932359,-0.12909545,-0.8325952,0.3449652,1.4748077,0.0480173,0.16494532,-0.42826355,-1.1980325,0.70887417,0.40361413,0.45408356,0.28153628,0.6491202,2.265685,-1.1381927,-1.2305874,1.0823826,-2.6756344,0.5048989,-0.88767403,-1.1205956,-1.1137853,0.7622473,1.6648024,1.4878358,-0.87497824,-1.7434275,-1.0131807,-0.022971189,0.047527928,0.47254637,-0.378331,-0.2876138,0.9233791,0.71841556,-1.7089106,0.08292886,0.560814,-0.05001127,-1.1323928,-0.1745044,0.30029926,1.7830877,0.142857,-1.1358651
n't,-1.6313254,0.6840609,1.639793,-2.5372925,2.1353054,0.9095596,-2.159183,-2.8681254,-1.9977591,1.2381644,2.7780988,-3.307903,-1.0158774,1.3165022,-3.2598972,2.43407,-0.80954736,-0.008257503,-0.41558447,-1.5634058,-0.87658954,1.9467131,0.08708547,-1.034843,-0.11571495,0.92922246,0.79028857,-1.8187957,1.2990544,-3.9394042,0.7486504,-0.67178106,-1.200096,0.6533701,0.69265133,-0.94804513,0.0047692843,-0.93789226,0.93404835,-0.7266021,1.8434223,-0.6002324,0.040525742,3.0560217,-2.332205,2.3544872,0.50507253,1.2328448,-2.2264726,1.6714356,-2.0122793,-2.444653,1.7587528,0.86775535,0.09362873,1.9744567,-0.7753186,1.5969208,1.6305642,0.96778315,-1.265263,-0.69416064,-2.1868956,-1.2451698,-1.7553153,1.3498812,-2.1084802,2.1209807,2.2359016,0.20545448,-0.17597696,-0.56296366,0.88782126,0.65035284,0.27081087,-0.39572573,0.032227587,0.019653289,2.2667625,1.0577153,-0.8225547,2.2872627,1.9087487,-0.9110365,-0.2729877,1.9162316,-2.8444889,0.03951293,-0.38885558,-0.8337732,-1.3555006,-2.7231858,0.42221075,0.31572643,-0.1585783,-0.03271124,-0.17455587,-0.5037194,0.783227,-2.6675496,0.59559333,-1.888411,-7.2614493,1.2203603,2.40412,-0.22018209,-1.9930186,-0.7897727,-1.0839249,0.8785709,-2.118501,1.5840204,1.0474495,-1.2849399,-0.7459698,-0.022856558,2.3815217,-1.4571803,4.290802,1.8343772,1.7936023,0.3219397,-0.84457767,-0.22277412,0.60485286,-2.0800562,-0.19057015,0.86836547,-0.3025088,-1.6545932,2.0608084,0.8312477,0.3400223,0.31511223,0.59920335,2.0170164,-2.4100492,4.392816,1.0723428,0.8063126,0.10255918,0.9675366,-0.41378805,-0.5590512,0.3338265,4.8729506,-0.98826206,4.7932773,0.30568856,-1.5574614,1.2019148,3.8053212,2.6240492,-0.6247389,2.1827264,1.1737738,0.54115385,1.641957,1.5246568,0.92261523,-0.37993398,1.0872425,-3.1431475,2.8663692,-0.045811996,-0.78250223,0.29439092,0.09241136,0.8394412,2.123713,0.44430953,0.15662436,-2.5473802,2.1148174,0.49263012,0.12071862,-0.9237971,-0.81129664,2.4843183,0.86503756,2.2842727,-2.2594776,1.5647916,-0.8494452,0.07295529,0.044067632,-0.6386996,-0.2041841,1.9936727,-1.0550869,-0.15938011,-0.962293,1.4979923,-0.058426596,4.060013,-2.7738729,-1.8446999,1.191974,-1.0289372,0.2439589
would,-0.89193714,0.673722,-0.22403906,-2.3134425,1.8071643,-0.11921531,-1.1317264,-2.1481051,-1.7652243,-1.2654524,0.14591637,-1.5333812,0.60436094,0.8223609,0.7276523,1.3902831,1.4114738,-0.7795388,1.2593589,-1.2704568,-0.61538243,1.5808647,-0.41122797,-2.1716654,0.039906893,-0.9425375,2.4072807,-0.5342497,1.9431978,-1.6470848,-2.292174,0.45677963,0.18606861,1.0030118,-1.3212155,0.10055428,-0.7074043,-1.4039187,2.2348943,0.6728072,-0.18198024,-1.2293534,0.75663835,0.27893645,-1.7233623,1.344629,0.026200723,-0.25982046,-1.4234902,-1.000333,-2.0968854,-1.1753737,-0.4208367,0.86571485,0.27419636,1.2584773,0.29093015,1.3730989,4.1772485,3.2653255,0.4905245,1.2880951,-0.8840994,0.15689702,0.016509032,1.1202544,-2.2841787,-0.5770677,2.5403373,-2.9417412,0.009604494,-1.3280754,0.26824367,0.98020095,0.728189,-0.8457395,-1.3424764,2.9540126,0.60894823,0.13227743,-1.2014033,1.9494727,1.1037008,-0.8928452,1.9933177,2.6801968,-2.117764,-1.86189,-0.012075241,1.043544,0.59407544,-3.247536,0.012434693,-1.2669718,-0.14549515,1.2411737,-0.74348706,1.756761,-0.8850346,-2.2114384,2.0626001,-2.0003536,-4.3012238,2.0888019,-0.5418042,1.3444532,-4.1959114,-0.95621216,-0.9501295,1.805445,-1.3072815,4.0346103,-0.4300876,1.6693184,1.4360912,-1.1545819,1.1237458,-0.67026335,2.2839084,1.7616792,0.24592906,-0.7869874,0.03386654,3.5432906,1.8894272,-2.6775563,-0.5360669,2.1795933,-0.056289773,0.51924545,1.3254659,-0.9470289,0.47002152,1.35113,-0.33443755,0.835079,-1.2940488,1.3703306,-0.3381693,1.9351692,-1.9139411,2.9063702,-1.9442775,-1.4741632,1.7198955,4.1489897,0.47308344,1.3001021,2.5617738,-0.48869723,-1.2103342,0.42916265,-1.0543898,-3.6985102,2.2088292,0.06539987,0.10501722,-0.50808525,2.0975735,-1.3703429,-1.6370037,-2.633555,0.33923095,1.1505358,-0.015598935,-0.2463557,1.6110655,-1.8299253,1.5633888,1.3668693,-0.5588042,3.049225,-0.75798714,2.6274505,0.70644295,-0.023104442,-0.54908466,0.5148877,1.9118203,1.4619428,1.5838323,-1.6070302,1.9060974,-0.8073406,0.49839774,0.83962864,0.5466894,-0.21828087,0.99277794,0.5342561,-1.7543539,-0.80780995,0.5591507,1.6353335,-0.40890795,-3.92958,-1.4373169,-0.12626413,-1.2954444,1.4485606
